instrument,datetime,revenue_growth,net_margin,equity_turnover,roe_weighted,inventory_turn_days,eps,roa_alt,asset_turnover,ar_turnover,roe,asset_turn_days,fixed_asset_turnover,profit_growth,ar_turn_days,roa,inventory_turnover,current_asset_turnover,current_asset_turn_days,ocf_to_np,gross_margin
SZ002981,2021-03-31,80.7734,1.5904,0.3067,0.49,89.6147,0.0426,0.3148,0.2027,0.8846,0.49,444.0059,,3.1722,101.7409,0.3148,1.0043,0.2919,308.3248,8.939,8.5900405833
SZ002981,2021-06-30,72.3482,0.8132,0.7008,0.57,81.3045,0.0496,7.1996,0.4581,1.8264,0.57,392.9273,3.8967,-70.2791,98.5545,0.3608,2.2139,0.6722,267.7774,-4.1863,9.6355596352
SZ002981,2021-09-30,46.8058,0.5802,1.0728,0.62,85.0608,0.0542,0.3826,0.6908,2.896,0.62,390.8512,,-86.0645,93.232,0.3826,3.1742,1.0298,262.1868,-3.24,10.3253376408
SZ002981,2021-12-31,44.7548,-3.1761,1.612,-5.12,63.7349,-0.4333,4.9584,0.9992,4.3947,-5.27,360.2882,6.9816,-191.4998,81.9169,-3.0035,5.6484,1.5996,225.0563,0.094798647219,8.1149400575
SZ002981,2022-03-31,7.1463,1.7164,0.3375,0.52,99.8668,0.0492,0.2799,0.1791,0.969,0.52,502.5126,,15.6319,92.8793,0.2799,0.9012,0.3294,273.224,-3.2607,13.9595748738
SZ002981,2022-06-30,7.2971,2.6579,0.7629,1.79,94.2211,0.1739,9.8534,0.3969,1.8507,1.87,453.5147,1.7461,250.6809,97.2605,0.9377,1.9104,0.7024,256.2642,-6.6693,13.1419033964
SZ002981,2022-09-30,12.1684,4.3521,1.2004,4.98,77.4238,0.4561,2.667,0.6648,2.9547,4.84,406.1372,,741.3579,91.3798,2.667,3.4873,1.2151,222.2039,-2.3857,13.9236170164
SZ002981,2022-12-31,5.7913,4.4634,1.6933,7.51,76.4104,0.6442,15.3793,0.9257,4.497,7.29,388.8949,4.2817,239.696950516496,80.0534,3.8448,4.7114,1.6972,212.1141,0.5179,17.6368387201
SZ002981,2023-03-31,-19.8578,1.2482,0.2601,0.31,143.2665,0.0287,0.1753,0.1388,0.7618,0.3,648.415,,-41.718,118.1412,0.1753,0.6282,0.2658,338.6005,23.3863,21.4232145089
SZ002981,2023-06-30,-9.4171,5.5667,0.6631,3.76,105.2385,0.33,15.0749,0.3615,1.848,3.74,497.9253,1.4135,89.7167,97.4026,2.0567,1.7104,0.7005,256.9593,2.9958,21.7304263933
SZ002981,2023-09-30,2.1777,7.6735,1.1706,9.18,84.879,0.8217,4.8969,0.6387,2.9896,8.93,422.7337,,80.1565,90.3131,4.8969,3.181,1.2243,220.5342,1.8213,22.9075495467
SZ002981,2023-12-31,3.2494,8.3184,1.5907,12.99,75.9077,1.2395,23.0949,0.9192,4.6089,12.97,391.6449,3.3121,92.4269,78.1097,7.9113,4.7426,1.8235,197.4225,1.898,23.9527175105
SZ002981,2024-03-31,29.1562,2.8385,0.2983,0.95,85.2757,0.0842,0.5484,0.1913,0.9519,0.95,470.4652,,193.7061,94.5477,0.5484,1.0554,0.419,214.7971,-6.1616,24.8942279027
SZ002981,2024-06-30,19.9172,6.1957,0.7157,4.55,78.6095,0.3146,17.5703,0.4418,2.0129,4.63,407.4242,1.4035,33.4667,89.4232,2.6674,2.2898,0.9344,192.637,-0.7805,24.7481963921
SZ002981,2024-09-30,17.6515,6.484,1.2391,8.13,67.527,0.5813,4.5978,0.7536,3.2702,7.64,358.2803,,-0.5864,82.5638,4.5978,3.9984,1.5426,175.0292,0.2424,23.2016209219
SZ002981,2024-12-31,21.2369,6.6491,1.7406,11.82,60.3672,0.8528,22.4593,1.0735,4.6321,10.93,335.3517,3.53,-3.0928,77.7185,6.6777,5.9635,2.161,166.5895,0.8294,21.9105146948
SZ002981,2025-03-31,39.332,5.3373,0.3773,2.03,77.9356,0.1566,1.2799,0.2347,1.0547,2.01,383.4683,,161.9879,85.3323,1.2799,1.1548,0.4593,195.9504,3.4005,21.4395670845
SZ002981,2025-06-30,28.0544,5.9874,0.8334,4.96,74.2023,0.3868,20.817,0.5117,2.0287,5.01,351.7686,1.6683,23.7505,88.7268,3.098,2.4258,0.9956,180.7955,0.4931,22.348002745
SZ002981,2025-09-30,20.3413,6.8175,1.3377,9.17,63.9432,0.7337,5.4105,0.8175,3.0161,8.79,330.2752,,26.5305,89.5196,5.4105,4.2225,1.5326,176.1712,0.5025,23.0974190475
SZ002981,2025-12-31,4.852,4.0745,1.7176,7.03,65.5081,0.5389,24.2572,1.0835,4.7127,6.91,332.2566,3.4154,-35.7483,76.3893,4.5465,5.4955,2.0477,175.807,2.2307,21.8385262206
SZ002981,2026-03-31,-6.9877,-0.8944,0.3437,-0.29,76.2066,-0.024,-0.2038,0.2272,1.0891,-0.29,396.1268,,-115.5872,82.637,-0.2038,1.181,0.4364,206.2328,0.067603324878,16.6121853989
