instrument,datetime,inventory_turn_days,asset_turnover,profit_growth,revenue_growth,ocf_to_np,roa_alt,roe_weighted,current_asset_turnover,net_margin,roa,eps,equity_turnover,asset_turn_days,inventory_turnover,ar_turn_days,current_asset_turn_days,roe,gross_margin,fixed_asset_turnover,ar_turnover
SH688717,2021-12-31,184.4168,1.312,90.3441,113.9977,1.7303,9.9527,53.67,1.558,7.5584,7.3084,,7.0455,274.3902,1.9521,19.4797,231.0655,41.8,36.378507461,52.8301,18.4808
SH688717,2022-06-30,102.9572,1.0947,,,2.1863,16.0608,90.09,1.2749,17.6581,14.5826,2.0569,5.1062,164.4286,1.7483,11.2059,141.1875,62.18,36.4613799997,22.3256,16.063
SH688717,2022-09-30,,1.6602,1486.22903600037,380.944767930577,1.312,22.3351,,,19.7711,22.3351,4.4415,35.8062,162.631,,,,78.17,37.3718950435,,
SH688717,2022-12-31,109.803908922193,2.2545,1699.6936,453.8588,0.7919,35.066,,,24.5599,35.066,9.4388,61.2563,159.6806,3.278571806174,20.154987259165,,88.26,39.0061176958,,17.861584101786
SH688717,2023-03-31,,,,,0.302038101298,,,,25.5229012689,,,,,,,,,40.051746701,,
SH688717,2023-06-30,111.4551,0.9564,295.1458,143.1709,0.7166,26.1964,55.07,102.8596,28.6939,25.1522,8.1277,1.4992,188.2058,1.615,31.6056,1.75,43.02,39.6022834617,,5.6952
SH688717,2023-09-30,126.8261,1.1971,91.0442,48.6485,0.6063,30.6593,56.81,144.0487,25.41,29.3875,8.4852,1.7378,225.5451,2.1289,29.2705,1.8744,44.16,40.0279632649,,9.2243
SH688717,2023-12-31,138.3764,1.042,-6.0068,-3.0104,0.5961,20.8983,58.63,98.3373,23.8012,19.8801,8.8718,1.0305,345.4894,2.6016,28.7682,3.6609,24.53,38.4961378647,,12.5138
SH688717,2024-03-31,216.2942,0.1262,-93.254038317108,-65.3062,6.6443,0.6186,0.78,0.1489,4.963,0.6186,0.2123,0.1571,713.1537,0.4161,50.8647,604.4325,0.78,38.7137417504,,1.7694
SH688717,2024-06-30,195.8012,0.2739,-89.4387,-53.4101,4.1095,2.9145,2.34,0.3219,6.5045,1.6589,0.6438,0.3604,657.1742,0.9193,59.2573,559.1799,2.32,38.2589688417,4.2208,3.0376
SH688717,2024-09-30,201.1173,0.4063,-84.24,-39.9345,4.28,2.4711,3.63,0.4759,6.6671,2.4711,1.0029,0.5443,664.5336,1.3425,54.0725,567.3461,3.56,37.2631819917,,4.9933
SH688717,2024-12-31,195.8757,0.5348,-80.8757,-31.3018,3.702,5.0231,4.6,0.6555,6.6258,3.318,1.2725,0.7032,673.1488,1.8379,47.6033,549.1991,4.63,38.1246418516,5.8257,7.5625
SH688717,2025-03-31,168.3502,0.1299,35.2941,16.7164,-0.662,0.7461,1.04,0.1661,5.7529,0.7461,0.2872,0.1806,692.8406,0.5346,58.6587,541.8423,1.03,29.9311145989,,1.5343
SH688717,2025-06-30,183.1688,0.2812,37.645,14.0873,-0.6188,4.2706,3.17,0.3591,7.8476,2.1125,0.8861,0.4041,640.1138,0.9827,58.2091,501.2531,3.12,33.5733422943,2.5299,3.0923
SH688717,2025-09-30,175.0405,0.4502,-6.3182,25.7956,0.6443,2.0554,3.36,0.5718,4.9651,2.0554,0.9396,0.6766,599.7335,1.5425,58.7672,472.1931,3.3,32.3209071322,,4.5944
SH688717,2025-12-31,159.8295,0.6144,-40.6089,32.8402,2.7864,4.3676,2.72,0.7979,2.9623,1.6909,0.7558,0.9308,585.9375,2.2524,54.6324,451.1844,2.77,31.9600484796,5.5666,6.5895
SH688717,2026-03-31,160.4564,0.191,45.0452,81.9738,-1.6564,0.8257,1.51,0.2498,4.5854,0.8257,0.4165,0.3301,471.2042,0.5609,56.1798,360.2882,1.5,32.971998237,,1.602
