instrument,datetime,asset_turnover,profit_growth,equity_turnover,eps,gross_margin,roe_weighted,ar_turn_days,inventory_turn_days,revenue_growth,roa_alt,roa,roe,ar_turnover,net_margin,fixed_asset_turnover,current_asset_turnover,ocf_to_np,asset_turn_days,inventory_turnover,current_asset_turn_days
BJ920950,2021-06-30,,8.3349,1.1823,0.752,38.9075918573,26.05,71.1547,110.6127,20.0405,20.9102,20.9102,32.05,2.5297,25.24,,0.8885,0.4529,244.11323402208,1.6273,202.5886
BJ920950,2021-09-30,,8.379541932354,1.71,1.2386,39.3040479549,43.85,66.5057,109.2985,24.149831676484,27.9806,27.9806,43.73,4.0598,26.2118,,1.2602,0.8493,249.388016475049,2.4703,214.2517
BJ920950,2021-12-31,,23.9664,2.3073,1.6361,38.5964739576,56.43,57.862,117.7394,19.7353,40.7076,40.7076,63.82,6.2217,26.9746,,1.7452,0.675,242.721571039456,3.0576,206.2801
BJ920950,2022-03-31,,-27.362049311023,0.4507,0.1954,35.4808913918,7.34,70.0825,155.521,4.110912602908,4.5095,4.5095,6.26,1.2842,15.2491,,0.3493,-0.1965,293.340359490548,0.5787,257.6582
BJ920950,2022-06-30,,-30.5105,1.0431,0.5059,35.8911715744,18.35,70.486,138.846,-8.6017,13.2811,13.2811,19.66,2.5537,19.1898,,0.7861,0.7339,262.881035685037,1.2964,228.9785
BJ920950,2022-09-30,,-23.4807,1.3885,0.9176,37.5976260847,32.32,71.618,137.2718,-16.8287,23.0138,23.0138,30.6,3.77,24.1154,,1.1417,0.8421,279.52281860379,1.9669,236.4894
BJ920950,2022-12-31,0.8435,-28.2103,1.0966,1.1372,38.3692312814,39.52,66.9307,131.762,-14.6269,19.2472,14.2221,17.07,5.3787,22.6827,,0.9822,1.2279,426.7931,2.7322,366.5241
BJ920950,2023-03-31,0.1726,49.9875,0.2077,0.2182,40.3572638921,4.17,66.9394,98.436,14.0481,3.3793,3.3793,4.07,1.3445,20.0545,,0.2022,0.1026,521.4368,0.9143,445.1039
BJ920950,2023-06-30,0.3985,51.4064,0.4856,0.5892,40.7390250663,11.11,58.508,81.5661,22.8882,14.3847,9.2688,11.46,3.0765,23.6431,8.1293,0.5051,1.5536,451.6939,2.2068,356.3651
BJ920950,2023-09-30,0.5458,27.5596,0.6464,0.9003,40.7066840712,16.9,61.1067,92.0622,16.9268,14.0884,14.0884,16.47,4.4185,26.3084,,0.7104,1.0861,494.6867,2.9328,380.0676
BJ920950,2023-12-31,0.6782,35.9882,0.8263,1.1895,41.3614258518,22.05,57.6637,94.2877,16.6939,21.6452,16.706,20.62,6.2431,26.4331,14.8201,0.9227,1.145,530.8169,3.8181,390.1593
BJ920950,2024-03-31,0.1504,13.3784,0.1825,0.2474,39.6974109989,4.72,71.2194,88.0626,-1.0421,3.4388,3.4388,4.1,1.2637,22.9769,,0.2364,0.3153,598.4043,1.022,380.7107
BJ920950,2024-06-30,0.3313,3.849,0.4133,0.4707,41.8181443693,10.23,76.4104,88.0066,-4.2615,13.3067,8.404,10.59,2.3557,25.646,8.2263,0.5283,0.6778,543.3142,2.0453,340.7155
BJ920950,2024-09-30,0.4985,3.8686,0.6063,0.7193,41.6069145291,15.65,69.2396,88.054,5.2676,12.7547,12.7547,15.29,3.8995,25.9587,,0.7888,0.9075,541.6249,3.0663,342.2921
BJ920950,2024-12-31,0.621,6.2259,0.7776,0.9719,41.3216982123,20.85,62.6359,92.9896,5.6286,19.8989,15.4312,19.57,5.7475,26.5826,3.8203,0.9968,1.0956,579.7101,3.8714,361.1557
BJ920950,2025-03-31,0.1421,6.1269,0.1755,0.202,40.9777197316,3.98,73.8552,96.8679,7.3002,3.2501,3.2501,3.91,1.2186,22.7257,,0.2349,0.2092,633.3568,0.9291,383.1418
BJ920950,2025-06-30,0.2708,-12.9223,0.3359,0.3415,43.88955621,8.04,75.5065,114.6643,-9.4226,12.5244,6.8552,8.31,2.3839,24.6551,0.8625,0.4616,0.5746,664.6972,1.5698,389.948
BJ920950,2025-09-30,0.3716,-29.405,0.4619,0.4232,42.1327638159,8.57,75.607,126.0151,-16.704,8.2912,8.2912,10.1,3.5711,22.0005,,0.6325,0.6873,726.5877,2.1426,426.8775
BJ920950,2025-12-31,0.4837,-28.6894,0.6083,0.5776,41.0344285305,13.69,78.9214,134.8012,-15.1642,14.612,10.6209,13.25,4.5615,22.3446,1.6734,0.786,0.5645,744.263,2.6706,458.0153
BJ920950,2026-03-31,0.1395,-19.4602,0.1683,0.1356,36.6570808775,3.06,68.1612,118.5146,0.5279,2.5903,2.5903,3.02,1.3204,18.2071,,0.227,0.3281,645.1613,0.7594,396.4758
