instrument,datetime,asset_turnover,profit_growth,equity_turnover,eps,gross_margin,roe_weighted,ar_turn_days,inventory_turn_days,revenue_growth,roa_alt,roa,roe,ar_turnover,net_margin,fixed_asset_turnover,current_asset_turnover,ocf_to_np,asset_turn_days,inventory_turnover,current_asset_turn_days
SH600854,2021-03-31,0.0557,201.047531886544,0.0656,0.0162,35.5067903384,0.2497,5.0834,385.9348,289.1852,0.3637,0.3637,0.25,17.7046,6.6715,,0.1136,7.4649,1615.7989,0.2332,792.2535
SH600854,2021-06-30,0.0835,-81.9665,0.1006,0.0162,36.8178978207,0.1711,6.8066,548.9478,40.4945,21.1952,0.3513,0.17,26.4451,4.3791,0.8754,0.1672,12.3187,2155.6886,0.3279,1076.555
SH600854,2021-09-30,0.0932,79.1227,0.1133,0.1997,37.7671938033,4.6588,8.968,736.8996,7.6091,4.1701,4.1701,4.64,30.1072,47.3693,,0.177,2.1767,2896.9957,0.3664,1525.4237
SH600854,2021-12-31,0.1011,147.4505,0.1221,0.2002,38.8872208246,4.7357,11.0928,808.4437,-7.6603,24.3905,4.2407,4.72,32.4535,44.1008,1.0976,0.1923,2.8431,3560.8309,0.4453,1872.0749
SH600854,2022-03-31,0.0489,343.018,0.0604,0.0716,54.5049819988,1.4675,5.8686,434.5727,-5.0498,1.5248,1.5248,1.45,15.3359,31.1278,,0.0869,1.5373,1840.4908,0.2071,1035.6732
SH600854,2022-06-30,0.0961,1072.6006,0.1167,0.1903,51.9579239456,4.084,4.8457,406.9636,20.8256,25.1276,4.1439,4.02,37.1467,42.4985,1.1469,0.1738,1.0089,1873.0489,0.4423,1035.6732
SH600854,2022-09-30,0.1095,21.2628,0.132,0.2421,50.837593045,5.3123,6.3252,517.638,20.8797,5.2849,5.2849,5.17,42.6867,47.5195,,0.1974,0.7793,2465.7534,0.5216,1367.7812
SH600854,2022-12-31,0.1158,31.3757,0.1394,0.2631,49.6864682499,5.753,8.4263,641.5969,19.49,26.6534,5.6595,5.51,42.7232,48.4875,1.3992,0.2105,0.6633,3108.8083,0.5611,1710.2138
SH600854,2023-03-31,0.0378,-24.8578,0.043,0.0538,49.9227720315,1.0509,5.7761,414.7465,-24.0725,1.171,1.171,1.04,15.5814,30.8059,,0.0714,-1.0318,2380.9524,0.217,1260.5042
SH600854,2023-06-30,0.0511,-62.1446,0.0581,0.072,47.7116487441,1.4443,7.578,615.3846,-47.6575,22.3757,1.5893,1.44,23.7529,30.736,0.6416,0.0985,-0.9751,3522.5049,0.2925,1827.4112
SH600854,2023-09-30,0.0612,11.4242,0.0693,0.2698,47.6671187739,5.8833,9.1916,751.4612,-44.1651,5.8042,5.8042,5.77,29.3747,94.8299,,0.1147,-0.1834,4411.7647,0.3593,2353.9669
SH600854,2023-12-31,0.0719,13.7671,0.0806,0.2993,48.2617050082,6.4924,9.8891,845.8647,-38.6185,23.3804,6.4901,6.32,36.4036,89.8688,1.0329,0.1352,-0.1146,5006.9541,0.4256,2662.7219
SH600854,2024-03-31,0.0078,-96.3705,0.0086,0.002,42.8922316432,0.0302,17.6453,1592.9204,-79.1494,0.0418,0.0418,0.03,5.1005,5.3624,,0.0149,8.1079,11538.4615,0.0565,6040.2685
SH600854,2024-06-30,0.0186,222.9687,0.0201,0.2326,35.547458078,5.0545,14.8097,1208.0537,-63.5585,20.7416,5.0666,5.09,12.1542,272.4028,0.3367,0.0344,0.1316,9677.4194,0.149,5232.5581
SH600854,2024-09-30,0.0313,-2.9844,0.0339,0.2617,35.7499858694,5.6646,13.4166,1032.5048,-49.07,5.6296,5.6296,5.63,20.1243,180.6397,,0.0579,0.4028,8626.1981,0.2615,4663.2124
SH600854,2024-12-31,0.0379,-13.269,0.0412,0.2596,38.8499516899,5.6198,11.844,1152.3688,-46.8292,20.5847,5.4948,5.52,30.3952,146.5922,0.7234,0.071,0.4639,9498.6807,0.3124,5070.4225
SH600854,2025-03-31,0.0074,204.5243,0.008,0.006,36.6797525287,0.1222,16.7448,1274.7875,-3.9453,0.1244,0.1244,0.12,5.3748,17.0005,,0.0137,-0.8417,12162.1622,0.0706,6569.3431
SH600854,2025-06-30,0.0192,-1.6073,0.0207,0.2289,26.6145236254,4.862,11.013,853.4851,6.0157,20.2046,4.8481,4.89,16.3443,252.8158,0.4019,0.0348,0.0999,9375.0,0.2109,5172.4138
SH600854,2025-09-30,0.0325,-11.4709,0.0351,0.2317,20.9317119416,4.9318,11.4199,672.9811,6.485,4.8658,4.8658,4.9,23.643,150.1794,,0.0593,0.1653,8307.6923,0.4012,4553.1197
SH600854,2025-12-31,0.0385,-5.7356,0.0414,0.2447,21.6739678685,5.242,6.9278,761.7435,3.1297,20.5707,5.1317,5.18,51.9648,133.9906,0.8314,0.0703,0.1406,9350.6494,0.4726,5120.9104
SH600854,2026-03-31,0.0104,-49.5439,0.0111,0.003,24.283872712,0.0593,4.793,691.7756,42.0651,0.0625,0.0625,0.06,18.7773,6.0379,,0.0187,-12.5806,8653.8462,0.1301,4812.8342
