instrument,datetime,asset_turnover,profit_growth,equity_turnover,eps,gross_margin,roe_weighted,ar_turn_days,inventory_turn_days,revenue_growth,roa_alt,roa,roe,ar_turnover,net_margin,fixed_asset_turnover,current_asset_turnover,ocf_to_np,asset_turn_days,inventory_turnover,current_asset_turn_days
SH600415,2021-03-31,0.0267,41.1126,0.0563,0.0683,54.9237940412,2.75,18.864,344.5636,2.3546,1.2857,1.2857,2.72,4.771,48.5009,,0.0769,-0.7124,3370.7865,0.2612,1170.3511
SH600415,2021-06-30,0.0709,17.666,0.1499,0.1543,55.3508518025,6.09,12.7307,265.1738,-2.3013,22.0509,2.8513,6.05,14.1391,40.8778,0.3695,0.2221,0.1968,2538.787,0.6788,810.4457
SH600415,2021-09-30,0.1387,8.9188,0.2936,0.2195,38.389179803,8.59,12.1615,143.3045,30.7652,3.9212,3.9212,8.33,22.2012,29.2074,,0.4301,1.0124,1946.6474,1.8841,627.761
SH600415,2021-12-31,0.2019,44.1871,0.4278,0.2421,33.2507797002,9.38,10.1073,118.7413,61.9525,23.2855,4.2856,9.13,35.6178,22.0286,1.0722,0.6338,1.5296,1783.0609,3.0318,568.0025
SH600415,2022-03-31,0.0512,78.7487,0.107,0.1221,34.5845587796,4.51,11.1767,116.3542,106.6834,2.1353,2.1353,4.42,8.0525,41.9456,,0.1761,-0.9822,1757.8125,0.7735,511.0733
SH600415,2022-06-30,0.1374,44.2944,0.2802,0.2226,24.9042688855,8.05,5.5412,85.8083,102.9804,24.1185,4.0472,7.95,32.4842,29.0591,0.7731,0.5102,-0.5453,1310.0437,2.0977,352.8028
SH600415,2022-09-30,0.2026,34.3621,0.4156,0.2949,24.8826759836,10.56,8.1256,99.4072,53.1917,5.1616,5.1616,10.28,33.2285,25.6174,,0.758,-0.2083,1332.6752,2.7161,356.2005
SH600415,2022-12-31,0.2414,-16.9706,0.5095,0.2012,15.3127402761,7.3,9.3544,74.1366,26.2826,22.8367,3.4368,7.24,38.4844,14.4835,1.3556,1.0767,1.2687,1491.3007,4.8559,334.355
SH600415,2023-03-31,0.066,82.1356,0.1332,0.2225,31.0315112733,7.69,8.41,77.068,32.6896,3.8014,3.8014,7.39,10.7015,57.5764,,0.43,-0.2544,1363.6364,1.1678,209.3023
SH600415,2023-06-30,0.1575,63.6492,0.3194,0.3647,30.5848349604,12.3,6.3044,64.1551,22.6755,25.0442,5.9865,11.74,28.5517,38.7649,0.9254,0.9749,0.0716,1142.8571,2.8057,184.6343
SH600415,2023-09-30,0.2392,43.2725,0.4848,0.4228,27.1020016081,14.19,7.1618,58.8736,25.0798,6.8276,6.8276,13.38,37.7,29.3434,,1.5081,0.1606,1128.7625,4.5861,179.0332
SH600415,2023-12-31,0.3307,142.9685,0.6851,0.4889,26.4958221853,16.06,12.8012,55.8607,48.2958,25.4791,7.4033,15.13,28.1224,23.7299,2.0353,1.9154,0.6881,1088.5999,6.4446,187.9503
SH600415,2024-03-31,0.0741,-41.769,0.1483,0.1296,39.0535031075,3.95,19.1099,67.3703,26.4235,1.9678,1.9678,3.87,4.7096,26.5198,,0.4232,0.2533,1214.5749,1.3359,212.6654
SH600415,2024-06-30,0.1873,-27.5028,0.378,0.2645,33.0780457458,7.86,14.2107,62.4978,31.0976,22.7176,4.0265,8.01,12.6665,21.4371,1.2692,1.0574,0.0788,961.0251,2.8801,170.2289
SH600415,2024-09-30,0.2943,0.5266,0.5656,0.4252,31.997003503,12.31,14.8924,41.9502,34.247,6.4961,6.4961,11.79,18.13,21.9729,,1.6013,0.1941,917.4312,6.4362,168.613
SH600415,2024-12-31,0.4175,14.7999,0.8223,0.5614,31.3869951095,16.1,12.3414,43.4258,39.2727,24.1129,7.859,14.99,29.1701,19.5601,2.8834,1.9335,1.4591,862.2754,8.29,186.1908
SH600415,2025-03-31,0.0822,13.0563,0.1507,0.1466,36.1795648261,3.84,12.133,60.1403,17.9276,2.1283,2.1283,3.77,7.4178,25.4244,,0.3347,-0.3461,1094.8905,1.4965,268.8975
SH600415,2025-06-30,0.1989,17.0052,0.3759,0.3095,31.5502864147,8.03,9.8908,47.1377,13.9946,21.47,4.4213,8.29,18.1987,22.0032,1.4243,0.8063,0.8149,904.9774,3.8186,223.242
SH600415,2025-09-30,0.3093,48.5701,0.6099,0.6318,37.2252796454,15.96,10.1295,50.4503,23.0667,7.6485,7.6485,15.58,26.6547,26.5264,,1.0481,2.7723,872.9389,5.3518,257.609
SH600415,2025-12-31,0.4769,36.9518,0.9141,0.7688,31.444415694,17.53,8.3463,49.3191,26.6237,24.707,9.4937,18.32,43.1329,21.1555,3.0193,1.6206,2.4976,754.8752,7.2994,222.1399
SH600415,2026-03-31,0.1037,23.5858,0.1955,0.1811,33.7785232658,4.23,8.5286,58.6396,45.2914,2.2505,2.2505,4.15,10.5527,21.6261,,0.3439,0.0625,867.8881,1.5348,261.704
