instrument,datetime,inventory_turnover,profit_growth,gross_margin,asset_turn_days,net_margin,current_asset_turnover,asset_turnover,roa_alt,ar_turn_days,roe_weighted,current_asset_turn_days,equity_turnover,inventory_turn_days,eps,ocf_to_np,fixed_asset_turnover,roa,ar_turnover,revenue_growth,roe
BJ920245,2023-03-31,0.7403,-83.7049,12.2061830692,700.3891,2.1906,0.3267,0.1285,0.2876,85.7061,0.41,275.4821,0.1852,121.5723,0.0258,-5.7867,,0.2876,1.0501,-11.7836,0.4
BJ920245,2023-06-30,1.7739,-51.1921,17.8211321865,568.1818,7.3039,0.8058,0.3168,18.478,72.8538,3.33,223.3805,0.4585,101.4713,0.2143,0.2423,0.7187,2.3344,2.4707,-10.1513,3.31
BJ920245,2023-09-30,2.6196,-42.9652,18.4364351418,568.6605,7.6599,1.205,0.4748,3.6287,73.1985,5.26,224.0664,0.6891,103.0692,0.3406,-0.4545,,3.6287,3.6886,-12.7026,5.18
BJ920245,2023-12-31,3.7478,-36.2772,18.4541297077,581.3015,6.5086,1.5955,0.6193,20.5998,71.9453,6.07,225.6346,0.9334,96.0564,0.395,0.2798,1.511,3.8504,5.0038,-0.5528,5.92
BJ920245,2024-03-31,0.8352,441.7071,21.8106654894,640.1138,9.5254,0.3704,0.1406,1.3198,78.4656,2.07,242.9806,0.2174,107.7586,0.1395,1.9808,,1.3198,1.147,24.5786,2.05
BJ920245,2024-06-30,1.9652,30.7888,21.0344484653,562.1487,8.2272,0.8513,0.3202,20.1921,73.266,4.16,211.4413,0.5054,91.5937,0.2803,2.1592,0.7296,2.5427,2.4568,16.1108,4.11
BJ920245,2024-09-30,2.9268,19.8819,20.7471454287,571.9127,7.9708,1.2641,0.4721,3.5682,69.6558,6.0,213.5907,0.7445,92.2509,0.4083,1.3744,,3.5682,3.8762,15.2052,5.76
BJ920245,2024-12-31,4.0557,7.4647,18.58416925,568.451,6.1253,1.6578,0.6333,22.2653,77.0169,6.23,217.1553,1.0171,88.764,0.4156,1.5463,1.4592,3.6511,4.6743,14.1898,6.1
BJ920245,2025-03-31,0.7857,-16.0338,19.5675535651,669.145,7.4283,0.3321,0.1345,0.9905,91.5658,1.67,271.0027,0.2247,114.5475,0.1147,2.7617,,0.9905,0.9829,7.6706,1.66
BJ920245,2025-06-30,1.7295,-22.4235,17.2838768044,633.5797,6.5009,0.6952,0.2841,22.0272,90.1668,3.1,258.9183,0.4788,104.0763,0.2133,2.2411,0.6116,1.8246,1.9963,-1.8241,3.1
BJ920245,2025-09-30,2.545,-18.577,17.5010802558,641.7875,6.6453,1.0135,0.4207,2.7352,88.2411,4.72,266.4036,0.7103,106.0904,0.3261,2.3404,,2.7352,3.0598,-2.335,4.66
BJ920245,2025-12-31,3.9517,-37.6792,14.3710091407,622.4066,3.7934,1.3272,0.5784,24.0385,96.4346,3.77,271.2477,0.9912,91.1,0.2595,4.1514,1.2636,2.1185,3.7331,0.629,3.72
BJ920245,2026-03-31,0.8252,51.108,21.1677687871,655.4989,10.1507,0.2806,0.1373,1.3702,108.4207,2.46,320.7413,0.2422,109.0645,0.1737,0.9042,,1.3702,0.8301,10.5813,2.43
