instrument,datetime,asset_turn_days,ar_turnover,profit_growth,fixed_asset_turnover,equity_turnover,roa_alt,current_asset_turnover,net_margin,eps,inventory_turnover,current_asset_turn_days,gross_margin,roe,revenue_growth,ocf_to_np,asset_turnover,ar_turn_days,inventory_turn_days,roa,roe_weighted
SZ002443,2021-03-31,299.9,1.7804,73.0326,,0.3941,2.0322,0.417,6.8095,0.1595,1.0948,215.8273,12.1122806266,2.65,69.5258,-1.8966,0.3001,50.5504,82.2068,2.0322,2.69
SZ002443,2021-06-30,244.7648,4.1868,-43.5317,3.6692,1.032,15.8434,0.9988,6.5555,0.3971,2.5971,180.2163,13.1015379802,6.77,50.151,-2.0946,0.7354,42.9923,69.3081,4.559,6.82
SZ002443,2021-09-30,233.9688,6.429,-37.0477,,1.6284,6.4786,1.5523,6.0492,0.5876,3.9133,173.9355,12.5024758195,9.66,45.8975,-0.5274,1.154,41.9972,68.9955,6.4786,9.89
SZ002443,2021-12-31,216.7108,9.0681,-32.1847,8.2026,2.2299,21.7074,2.2788,5.8616,0.7931,6.2447,157.9779,12.1487173442,12.56,37.8409,0.4025,1.6612,39.6996,57.6489,9.3024,13.05
SZ002443,2022-03-31,294.599,1.7344,-35.0942,,0.414,1.2031,0.4118,3.9562,0.1036,1.0156,218.5527,10.850906882,1.55,11.7159,-4.1101,0.3055,51.8911,88.6176,1.2031,1.56
SZ002443,2022-06-30,274.0978,3.635,-32.639,3.4172,0.9415,15.1898,0.8715,4.5794,0.2675,2.1517,206.5404,11.5652301442,4.24,-3.5704,-3.4077,0.6567,49.5186,83.6548,2.8875,4.2
SZ002443,2022-09-30,267.8306,5.6579,-42.7143,,1.3999,3.841,1.3474,3.8627,0.3366,3.2662,200.3859,10.6263501213,5.18,-10.2863,0.4513,1.0081,47.7209,82.6649,3.841,5.16
SZ002443,2022-12-31,271.166,7.0704,-36.0579,6.9295,1.8537,18.8197,1.7657,4.3355,0.5072,4.6561,203.8851,10.8590029653,7.6,-13.5509,0.9265,1.3276,50.9165,77.3179,5.5754,7.68
SZ002443,2023-03-31,341.9453,1.3838,32.4211,,0.3722,1.5148,0.3442,5.7407,0.1371,0.8719,261.4759,12.2421056691,1.99,-8.7406,-3.1882,0.2632,65.0383,103.2228,1.5148,2.01
SZ002443,2023-06-30,288.5078,3.0449,11.5688,3.3866,0.8563,18.2768,0.8192,5.3958,0.2985,2.0696,219.7266,12.2408551288,4.26,-5.3121,0.8838,0.6239,59.1152,86.9733,3.4561,4.32
SZ002443,2023-09-30,289.5753,4.6127,46.8564,,1.274,5.602,1.2181,5.9168,0.4943,3.1827,221.6567,12.8752953363,6.91,-4.1279,0.9106,0.9324,58.534,84.8336,5.602,7.14
SZ002443,2023-12-31,293.7337,6.3892,20.6307,6.7834,1.667,20.8653,1.5975,5.5449,0.6118,4.4855,225.3521,12.2976560254,8.46,-5.6799,2.0777,1.2256,56.3451,80.2586,6.8679,8.79
SZ002443,2024-03-31,401.2483,1.1858,-20.6138,,0.287,1.229,0.2903,5.4645,0.1089,0.8433,310.0241,12.8440916148,1.44,-16.6026,-1.6388,0.2243,75.8981,106.7236,1.229,1.45
SZ002443,2024-06-30,347.8933,2.6614,-26.9389,2.839,0.6499,18.06,0.6736,4.8427,0.2181,2.0154,267.2209,11.7910924379,2.93,-18.5942,0.8063,0.5174,67.6336,89.3123,2.5665,2.96
SZ002443,2024-09-30,361.7848,4.1886,-44.2451,,0.941,3.1904,0.966,4.2095,0.2756,3.0365,279.5031,10.9569813509,3.57,-21.6319,1.8964,0.7463,64.4607,88.9182,3.1904,3.61
SZ002443,2024-12-31,356.5415,5.4246,-27.207,5.7101,1.2661,21.2684,1.3031,5.0209,0.4453,4.2642,276.2643,10.8547203656,5.78,-19.6087,2.5173,1.0097,66.3643,84.4238,5.1422,5.86
SZ002443,2025-03-31,464.1568,1.1384,-43.5226,,0.2359,0.7037,0.248,3.6456,0.0615,0.8677,362.9032,11.1047665532,0.75,-15.344,-2.8768,0.1939,79.0583,103.7225,0.7037,0.75
SZ002443,2025-06-30,401.2483,2.434,-39.7885,2.6504,0.5483,18.5511,0.5747,3.3841,0.1313,1.9279,313.2069,10.6253341497,1.68,-13.8375,-0.6862,0.4486,73.9523,93.3658,1.5203,1.68
SZ002443,2025-09-30,389.2734,3.955,-24.0614,,0.8641,2.3388,0.8824,3.4274,0.2093,3.1436,305.9837,10.7168099042,2.74,-6.7337,0.7247,0.6936,68.268,85.8888,2.3388,2.7
SZ002443,2025-12-31,394.3909,5.5541,-31.8183,5.6956,1.1499,19.8724,1.1557,3.7124,0.3036,4.4087,311.4995,10.4807807835,3.98,-7.7866,0.0526,0.9128,64.817,81.6567,3.2786,4.08
SZ002443,2026-03-31,457.7823,1.2674,42.415,,0.2515,0.9698,0.2462,4.8711,0.0876,0.9459,365.5565,13.0322838932,1.14,6.5848,0.602,0.1966,71.0115,95.1475,0.9698,1.15
