instrument,datetime,revenue_growth,net_margin,equity_turnover,roe_weighted,inventory_turn_days,eps,roa_alt,asset_turnover,ar_turnover,roe,asset_turn_days,fixed_asset_turnover,profit_growth,ar_turn_days,roa,inventory_turnover,current_asset_turnover,current_asset_turn_days,ocf_to_np,gross_margin
SZ300476,2021-03-31,64.5812,11.623,0.4107,23.47,69.4391,0.2347,1.7215,0.1548,0.6789,4.66,581.3953,,74.6154,132.5674,1.7215,1.2961,0.3756,239.6166,0.6705,22.4944226049
SZ300476,2021-06-30,45.3914,11.5707,0.8765,9.9,77.885,0.5035,13.7146,0.3242,1.4027,9.81,555.2128,0.8187,50.0404,128.3239,3.5,2.3111,0.7596,236.9668,0.6355,23.959198367
SZ300476,2021-09-30,42.315,11.5531,1.3546,15.12,80.2759,0.8002,5.2162,0.4983,2.1608,14.74,541.8423,,46.7108,124.9537,5.2162,3.3634,1.1689,230.9864,0.8743,23.3549006193
SZ300476,2021-12-31,32.7239,9.0208,1.4863,16.16,71.2772,0.7763,15.0253,0.6421,2.9421,10.69,560.6603,1.5473,29.2031,122.3616,4.9804,5.0507,1.4977,240.3686,1.1822,20.3721722098
SZ300476,2022-03-31,29.2197,9.9631,0.3189,2.42,86.4719,0.234,1.341,0.1422,0.7461,3.13,632.9114,,10.7656,120.6273,1.341,1.0408,0.3159,284.9003,1.7651,21.6090598201
SZ300476,2022-06-30,18.0227,11.373,0.6194,7.01,82.444,0.5259,14.6623,0.2893,1.4695,6.86,622.1915,0.6619,16.0059,122.4906,3.2102,2.1833,0.663,271.4932,1.0807,18.3639959811
SZ300476,2022-09-30,10.7757,10.7232,0.9261,9.84,73.5114,0.7408,4.6626,0.439,2.167,9.67,615.0342,,2.8184,124.5962,4.6626,3.6729,1.0273,262.8249,0.5482,17.2047850847
SZ300476,2022-12-31,6.0971,10.027,1.1941,12.14,73.6091,0.9165,18.9265,0.568,2.931,11.4,633.8028,1.2808,17.9321,122.825,5.5275,4.8907,1.3377,269.1186,1.5687,18.147580148
SZ300476,2023-03-31,-13.3464,7.11,0.2515,1.79,72.2717,0.1449,0.8576,0.1217,0.7008,1.77,739.5234,,-38.1613,128.4247,0.8576,1.2453,0.2882,312.2831,0.8453,20.1059250591
SZ300476,2023-06-30,-8.102,9.3874,0.521,4.92,68.0246,0.3994,17.1196,0.2515,1.4085,4.82,715.7058,0.5818,-24.1468,127.7955,2.3156,2.6461,0.5786,311.0957,1.3526,20.9609638026
SZ300476,2023-09-30,-3.7289,10.1974,0.8004,8.12,67.4275,0.6789,3.872,0.3903,2.1173,7.9,691.7756,,-8.4496,127.5209,3.872,4.0043,0.8836,305.5681,1.2131,22.036064153
SZ300476,2023-12-31,0.5846,8.4646,1.0893,9.35,71.5834,0.7782,21.7366,0.5006,2.7244,8.8,719.137,1.1891,-15.0889,132.1392,3.8619,5.0291,1.2064,298.4085,1.9063,20.7192652148
SZ300476,2024-03-31,36.0569,8.7645,0.3105,2.85,65.679,0.243,1.2313,0.139,0.7476,2.7,647.482,,67.7172,120.3852,1.2313,1.3703,0.3337,269.7033,0.862,19.4884099737
SZ300476,2024-06-30,32.2942,9.4538,0.6237,5.84,68.7758,0.5321,22.2945,0.2812,1.5156,5.78,640.1138,0.7018,33.2305,118.7648,2.676,2.6172,0.6794,264.9397,1.4257,20.6052909886
SZ300476,2024-09-30,34.0185,9.9329,0.9666,9.55,68.0186,0.8863,4.2685,0.4362,2.2807,9.21,618.9821,,30.5425,118.3847,4.2685,3.9695,1.0557,255.7545,1.6045,21.5527328448
SZ300476,2024-12-31,35.3062,10.7574,1.2966,13.95,74.2819,1.3382,26.1506,0.5871,3.0262,12.93,613.1834,1.52,71.9576,118.9611,6.0204,4.8464,1.3989,257.3451,1.1766,22.7244068142
SZ300476,2025-03-31,80.3145,21.3491,0.4574,9.74,68.5297,1.0672,4.4,0.2151,0.9924,9.27,418.41,,339.2238,90.6892,4.4,1.3133,0.5021,179.2472,0.4604,33.3747055967
SZ300476,2025-06-30,85.9956,23.7311,0.9084,21.48,73.8916,2.4842,26.6965,0.4213,1.818,19.56,427.249,1.2301,366.8886,99.0099,9.0444,2.436,0.973,184.9949,0.5553,36.2224525223
SZ300476,2025-09-30,83.3953,22.9848,1.1716,29.06,70.2521,3.7282,10.5997,0.5671,2.7569,21.39,476.1065,,324.3755,97.9361,10.5997,3.8433,1.3428,201.0724,0.7345,35.851932876
SZ300476,2025-12-31,79.7733,22.3508,1.5104,35.56,75.0109,4.9543,24.9457,0.709,3.9542,25.95,507.7574,2.3589,273.5163,91.0424,12.2345,4.7993,1.7868,201.4775,1.0674,35.2234799653
SZ300476,2026-03-31,27.9928,23.3433,0.3245,7.62,87.9164,1.4766,3.314,0.1489,0.9661,7.4,604.4325,,39.948,93.1581,3.314,1.0237,0.3907,230.3558,1.6428,34.4584933385
