instrument,datetime,profit_growth,inventory_turn_days,asset_turnover,current_asset_turn_days,roa_alt,inventory_turnover,asset_turn_days,equity_turnover,roe_weighted,revenue_growth,current_asset_turnover,gross_margin,roe,ocf_to_np,roa,eps,ar_turnover,fixed_asset_turnover,net_margin,ar_turn_days
SZ000996,2021-03-31,24.0401,278.2071,0.0125,602.0067,0.4657,0.3235,7200.0,0.0177,0.67,3.8971,0.1495,13.5490986567,0.67,-0.7027,0.4657,0.0094,203.2218,,38.2005,0.4429
SZ000996,2021-06-30,-39.0901,268.4163,0.0234,609.9627,0.8267,0.6706,7692.3077,0.0331,0.52,-9.3201,0.2951,15.0110909196,0.52,-1.4641,0.359,0.0072,53.3577,7.789,15.647,3.3735
SZ000996,2021-09-30,-54.8435,196.1497,0.042,512.9179,0.4633,1.3765,6428.5714,0.0596,0.6,-6.1425,0.5264,10.1093869162,0.67,0.0916,0.4633,0.0094,196.7992,,11.2683,1.372
SZ000996,2021-12-31,-66.9579,157.7494,0.0716,432.7963,0.7719,2.2821,5027.933,0.103,0.42,-0.9074,0.8318,11.3137549442,0.42,-0.558,0.2815,0.0058,209.9614,22.9676,4.0616,1.7146
SZ000996,2022-03-31,-113.4785,251.5372,0.0091,759.4937,-0.062,0.3578,9890.1099,0.0135,-0.09,-23.7861,0.1185,16.8674644507,-0.09,-1.574440350771,-0.062,-0.0013,33.0009,,-6.7558,2.7272
SZ000996,2022-06-30,-91.471,214.2347,0.0195,685.4532,0.5652,0.8402,9230.7692,0.0287,0.04,-13.1067,0.2626,19.0116907997,0.04,-12.879,0.0302,0.0006,35.9737,7.2891,1.5358,5.0037
SZ000996,2022-09-30,-96.4197,205.3544,0.0286,693.909,0.0164,1.3148,9440.5594,0.042,0.02,-29.3015,0.3891,14.9343921002,0.02,-28.5292,0.0164,0.0003,102.905,,0.5707,2.6238
SZ000996,2022-12-31,-269.128,141.8552,0.045,545.2893,0.0771,2.5378,8000.0,0.0661,-0.71,-35.7711,0.6602,14.114186804,-0.71,-0.322938611634,-0.4857,-0.0099,83.244,18.3011,-10.6951,4.3246
SZ000996,2023-03-31,-245.13711045911,279.9378,0.0042,930.7135,-0.2184,0.3215,21428.5714,0.0061,-0.32,-55.0527,0.0967,27.7683977077,-0.32,-6.022692387644,-0.2184,-0.0044,14.4844,,-51.8757,6.2136
SZ000996,2023-06-30,-37.6329,86.5801,0.0138,603.2172,0.5699,2.079,13043.4783,0.02,0.03,-30.2892,0.2984,9.9874607882,0.03,-11.428,0.0189,0.0004,19.8109,9.4337,1.374,9.0859
SZ000996,2023-09-30,33.3884,98.9156,0.0154,819.1748,0.0221,2.7296,17532.4675,0.0223,0.03,-47.0144,0.3296,7.8315491927,0.03,-105.6001,0.0221,0.0004,29.0494,,1.4366,9.2945
SZ000996,2023-12-31,422.361240626169,,0.0161,838.1839,1.6054,,22360.2484,0.0232,1.71,-65.1711,0.4295,13.4882929647,1.69,1.3211,1.1844,0.0232,56.8697,13.6666,72.3351,6.3303
SZ000996,2024-03-31,247.497121777824,,0.0,,0.3345,,,0.0,0.47,-100.0,0.0,,0.47,-5.4792,0.3345,0.0065,0.0,,,
SZ000996,2024-06-30,2126.7707,,0.0,,0.4479,,,0.0,0.62,-100.0,0.0,,0.62,-9.2635,0.4479,0.0085,0.0,,,
SZ000996,2024-12-31,-1559.9655,,0.0,,-21.3349,,,0.0,-26.65,-100.0,0.0,,-28.98,,-21.3349,-0.3388,,,,
SZ000996,2025-06-30,-84.7635,,,,0.0818,,,0.0,0.11,,0.0,,0.11,-1.5368,0.0818,0.0013,,,,
SZ000996,2025-12-31,43.067318585639,,,823.2335,-13.6127,,52771.9524334237,0.0095,-17.98,,0.4373,-8.9999993101,-19.69,-0.505182228495,-13.6127,-0.1929,,,-1881.8913,
