instrument,datetime,current_asset_turn_days,fixed_asset_turnover,roe,roa_alt,ocf_to_np,net_margin,equity_turnover,roe_weighted,gross_margin,roa,profit_growth,asset_turn_days,inventory_turn_days,ar_turn_days,eps,revenue_growth,inventory_turnover,asset_turnover,ar_turnover,current_asset_turnover
SZ002535,2021-03-31,1666.6667,,-3.35,-0.5825,-0.689235900341,-22.6174,0.144,-3.29,19.4840552972,-0.5825,-4.198564140478,3585.6574,338.6005,307.5871,-0.0332,-11.538,0.2658,0.0251,0.2926,0.054
SZ002535,2021-06-30,1636.3636,0.1642,-11.89,18.467,-0.187772311679,-37.5645,0.2954,-11.22,11.2464875795,-1.9392,-1028.255,3600.0,314.6303,305.3953,-0.109,-39.7841,0.5721,0.05,0.5894,0.11
SZ002535,2021-09-30,1554.4041,,-21.28,-3.4212,0.181009235265,-41.6568,0.4558,-19.23,9.2748744142,-3.4212,-1309.2873,3515.625,316.3445,308.184,-0.1798,-41.8437,0.8535,0.0768,0.8761,0.1737
SZ002535,2021-12-31,1521.5554,0.3278,-108.74,12.9669,0.832762714208,-94.5301,0.7371,-70.44,6.1090759739,-10.8142,-1203.1891,3474.9035,314.2458,295.858,-0.5357,-49.7945,1.1456,0.1036,1.2168,0.2366
SZ002535,2022-03-31,690.7137,,0.35,0.0399,-18.3177,0.769,0.5113,0.35,22.6292226243,0.0399,105.123167439025,1737.4517,233.2815,152.0784,0.002,74.7533,0.3858,0.0518,0.5918,0.1303
SZ002535,2022-06-30,662.4954,0.3214,0.4,24.981,45.4858,0.469,1.0599,0.4,22.7685315425,0.0502,91.814197669747,1677.5396,227.0148,145.7608,0.0025,83.5304,0.7929,0.1073,1.2349,0.2717
SZ002535,2022-09-30,606.7416,,2.32,0.2386,7.0717,1.3808,1.7505,2.35,22.5991128385,0.2386,100.988359747498,1534.0909,195.0163,140.1287,0.0123,105.8001,1.3845,0.176,1.9268,0.445
SZ002535,2022-12-31,527.0864,0.8195,4.18,25.1602,12.8149,1.5711,2.727,4.27,23.736160194,0.4191,104.407947373625,1313.3893,160.4278,126.3202,0.0219,146.4595,2.244,0.2741,2.8499,0.683
SZ002535,2023-03-31,465.3568,,5.93,0.6193,4.2423,7.7755,0.7766,6.12,26.8109771948,0.6193,1551.0332,1127.8195,137.5726,128.5714,0.0326,63.2929,0.6542,0.0798,0.7,0.1934
SZ002535,2023-06-30,412.9387,0.5319,13.47,28.6078,1.4126,8.5422,1.6486,14.44,26.7275181653,1.5383,3039.722,1012.9432,120.8703,114.1842,0.0784,72.375,1.4892,0.1777,1.5764,0.4359
SZ002535,2023-09-30,377.3058,,18.28,2.2547,0.9818,7.7202,2.5477,20.12,25.6162716895,2.2547,820.7179,945.7093,116.6912,104.94,0.1129,64.6772,2.3138,0.2855,2.5729,0.7156
SZ002535,2023-12-31,323.2178,1.3278,21.58,31.3041,4.1196,6.3638,3.7904,24.79,28.2917899508,2.9315,564.7016,801.9603,107.7651,96.5044,0.1459,64.1009,3.3406,0.4489,3.7304,1.1138
SZ002535,2024-03-31,403.5874,,4.77,0.6891,1.4427,8.0028,0.6017,4.89,22.7947664134,0.6891,3.8664,1051.4019,141.1765,139.5998,0.0338,0.9164,0.6375,0.0856,0.6447,0.223
SZ002535,2024-06-30,362.3918,0.6188,15.09,29.6847,0.9111,10.944,1.4697,16.32,30.100071573,2.2071,53.0247,854.7009,132.4016,126.7338,0.12,19.4408,1.3595,0.2106,1.4203,0.4967
SZ002535,2024-09-30,369.4581,,20.59,3.1675,1.2578,10.6118,2.1337,22.95,31.1311362242,3.1675,55.1404,859.3253,128.4552,141.1617,0.1752,12.867,2.1019,0.3142,1.9127,0.7308
SZ002535,2024-12-31,370.981,1.1802,14.96,30.0549,3.9402,5.6812,2.8161,16.17,28.3134857507,2.2303,-18.2094,884.9558,134.2232,146.4367,0.1193,-8.3828,2.6821,0.4068,2.4584,0.9704
SZ002535,2025-03-31,414.174,,3.51,0.5589,9.5347,5.8695,0.5995,3.57,28.6293418511,0.5589,-14.775,962.5668,125.0174,176.9912,0.0288,16.201,0.7199,0.0935,0.5085,0.2173
SZ002535,2025-06-30,370.218,0.6166,7.35,30.6797,3.0368,5.5767,1.3497,7.63,27.4072317986,1.21,-47.5063,841.1215,106.7932,154.3475,0.063,3.017,1.6855,0.214,1.1662,0.4862
SZ002535,2025-09-30,427.8922,,10.06,1.7387,2.411,6.1257,1.7163,10.59,29.0048185039,1.7387,-48.9817,970.5248,128.8721,188.1271,0.0894,-11.6195,2.0951,0.2782,1.4352,0.631
SZ002535,2025-12-31,557.2755,0.7907,-8.04,31.4976,0.345745283617,-4.1383,1.8124,-7.73,25.3153597782,-1.2312,-148.8004,1289.3983,175.2592,255.0117,-0.0582,-33.0044,2.0541,0.2792,1.4117,0.646
SZ002535,2026-03-31,820.4193,,0.89,0.1434,11.5594,3.0295,0.2961,0.89,19.5209106382,0.1434,-76.6604,1906.7797,219.7802,392.8416,0.0067,-54.7812,0.4095,0.0472,0.2291,0.1097
