instrument,datetime,inventory_turnover,profit_growth,gross_margin,asset_turn_days,net_margin,current_asset_turnover,asset_turnover,roa_alt,ar_turn_days,roe_weighted,current_asset_turn_days,equity_turnover,inventory_turn_days,eps,ocf_to_np,fixed_asset_turnover,roa,ar_turnover,revenue_growth,roe
BJ920069,2023-12-31,2.7085,-20.274,47.2006980785,953.00207963982,19.312,1.5513,,6.5802,62.6327,10.95,232.0634,0.567,132.9149,,2.344,,6.5802,5.7478,-2.1924,10.36
BJ920069,2024-03-31,,,50.1729716692,,10.6076,,,,,,,0.2555,,,0.6205,,,,,
BJ920069,2024-06-30,,,48.4458422543,,20.0572,,,,,5.95,,0.6146,,,1.1415,,,,,5.95
BJ920069,2024-09-30,,,50.3184961986,,20.5848,,,,,,,1.0511,,,1.1019,,,,,
BJ920069,2024-12-31,3.0277,42.0722,49.4364735181,808.546674211312,20.3828,1.7161,,8.82,56.0625,13.64,209.778,0.6693,118.9021,1.5327,1.1845,,8.82,6.4214,34.6086,12.71
BJ920069,2025-03-31,0.6226,170.3739,50.6598028492,845.806127100557,21.149,0.4102,,2.3093,63.2911,3.11,219.4052,0.1471,144.5551,0.3813,1.3706,,2.3093,1.422,35.6103,3.06
BJ920069,2025-06-30,1.4219,63.239,52.504980272,730.805058265004,24.8565,0.9332,,6.2212,60.4088,8.32,192.8847,0.3346,126.5912,1.0472,1.2176,,6.2212,2.9797,31.7208,7.98
BJ920069,2025-09-30,2.101,46.4756,52.4800931752,711.27314345211,25.1729,1.4085,,9.6211,52.3499,12.79,191.6933,0.508,128.5102,1.6493,1.3166,,9.6211,5.1576,19.7783,12.01
BJ920069,2025-12-31,2.8104,38.3743,52.0332915573,697.965178851498,23.4896,1.8591,,12.0279,55.0038,16.14,193.6421,0.6872,128.0956,2.1208,1.284,,12.0279,6.545,20.0723,14.92
BJ920069,2026-03-31,0.622,46.5992,54.0236221067,754.425357311138,23.8293,0.3402,,2.5764,52.6439,3.85,264.5503,0.1426,144.6945,0.4472,1.1586,,2.5764,1.7096,30.1097,2.99
