instrument,datetime,current_asset_turn_days,fixed_asset_turnover,roe,roa_alt,ocf_to_np,net_margin,equity_turnover,roe_weighted,gross_margin,roa,profit_growth,asset_turn_days,inventory_turn_days,ar_turn_days,eps,revenue_growth,inventory_turnover,asset_turnover,ar_turnover,current_asset_turnover
SZ002255,2021-03-31,770.5479,,2.57,1.5462,-0.8413,22.1701,0.1211,2.6,27.1224533161,1.5462,133.2838,1287.5536,351.151,199.115,0.0929,69.7168,0.2563,0.0699,0.452,0.1168
SZ002255,2021-06-30,573.431,0.7054,4.49,16.5263,-0.1806,14.0743,0.3344,4.59,24.6144128105,2.6348,-75.085,940.4389,247.4227,155.4941,0.1646,16.7264,0.7275,0.1914,1.1576,0.3139
SZ002255,2021-09-30,628.7844,,8.71,4.9092,0.1931,19.2267,0.4771,9.1,24.9596023986,4.9092,-58.5589,1001.1123,282.9892,156.0513,0.3283,10.6358,0.9541,0.2697,1.7302,0.4294
SZ002255,2021-12-31,478.4053,1.8331,13.41,21.659,0.3413,18.0234,0.8151,14.38,25.0622081749,7.9753,-42.5392,764.3312,196.0998,125.558,0.542,25.0693,1.8358,0.471,2.8672,0.7525
SZ002255,2022-03-31,744.4169,,-0.69,-0.3814,0.010459550024,-4.8005,0.1311,-0.69,21.706576306,-0.3814,-126.7668,1156.8123,296.4427,188.5212,-0.0249,23.6175,0.3036,0.0778,0.4774,0.1209
SZ002255,2022-06-30,622.4066,0.7968,4.54,17.9485,0.9241,13.9696,0.32,4.74,22.9115440755,2.6847,5.4075,960.5123,247.0152,173.4104,0.1735,6.1972,0.7287,0.1874,1.038,0.2892
SZ002255,2022-09-30,576.1844,,6.21,3.7593,1.3319,12.1654,0.5184,6.41,23.3548984552,3.7593,-24.7336,888.4501,230.3951,157.7195,0.2471,18.9534,1.1719,0.3039,1.7119,0.4686
SZ002255,2022-12-31,589.9705,1.8249,10.04,20.2559,1.4252,14.7762,0.7015,10.57,25.2738842258,5.8189,-23.4542,892.8571,252.9511,142.1689,0.4149,-6.6323,1.4232,0.4032,2.5322,0.6102
SZ002255,2023-03-31,826.4463,,1.06,0.5845,-3.1239,7.9335,0.1287,1.07,22.7315536803,0.5845,10.437273940548,1224.4898,379.7468,188.2451,0.0415,0.9492,0.237,0.0735,0.4781,0.1089
SZ002255,2023-06-30,584.4156,1.027,4.51,17.7655,0.3065,12.6969,0.3613,4.62,25.2865420931,2.6434,9.4496,861.244,274.8511,132.6162,0.1899,20.4203,0.6549,0.209,1.3573,0.308
SZ002255,2023-09-30,650.7592,,6.53,3.7171,0.8092,13.42,0.503,6.75,27.2293001082,3.7171,14.297,944.7166,314.5387,142.9782,0.2825,3.6118,0.8584,0.2858,1.8884,0.4149
SZ002255,2023-12-31,552.0626,2.3117,9.23,20.3345,0.9261,12.469,0.7812,9.67,25.4929243933,5.4165,-0.2554,801.0681,251.5899,127.1501,0.4138,18.2006,1.4309,0.4494,2.8313,0.6521
SZ002255,2024-03-31,865.3846,,1.22,0.6816,-0.727,9.2333,0.1234,1.23,24.7153816553,0.6816,22.9768,1231.1902,401.2483,194.0492,0.051,5.6654,0.2243,0.0731,0.4638,0.104
SZ002255,2024-06-30,717.9896,1.0004,3.35,17.3646,1.8152,10.8127,0.3021,3.4,23.5802381922,1.909,-22.1172,1012.3735,320.2847,161.3771,0.1479,-8.545,0.562,0.1778,1.1154,0.2507
SZ002255,2024-09-30,719.0413,,6.22,3.3994,2.1138,13.0517,0.4628,6.33,25.5584501193,3.3994,-2.4276,1006.7114,324.8707,151.5832,0.2756,0.326,0.8311,0.2682,1.7812,0.3755
SZ002255,2024-12-31,622.6219,2.3835,9.42,20.7615,1.8027,13.6005,0.7128,9.79,25.2918371517,5.4775,8.8195,862.2754,283.197,133.1853,0.4565,-0.2336,1.2712,0.4175,2.703,0.5782
SZ002255,2025-03-31,989.011,,1.81,1.0652,0.4263,15.8,0.1136,1.82,29.1679290063,1.0652,71.6768,1335.3116,472.1931,189.1949,0.0888,0.3254,0.1906,0.0674,0.4757,0.091
SZ002255,2025-06-30,886.2629,0.8918,4.56,19.2524,0.7393,18.5462,0.2474,4.66,30.3200680475,2.83,53.6196,1193.634,428.4694,174.7064,0.2303,-10.4377,0.4201,0.1508,1.0303,0.2031
SZ002255,2025-09-30,798.5803,,7.46,4.863,1.1853,18.9729,0.4014,7.67,30.5285063659,4.863,37.7049,1081.2976,372.7223,154.8698,0.3847,-5.271,0.7244,0.2497,1.7434,0.3381
SZ002255,2025-12-31,757.5758,2.044,9.53,24.4953,1.025,18.0426,0.5475,9.92,30.0436338634,6.5325,10.4712,1033.8886,349.9222,146.4188,0.5043,-16.7268,1.0288,0.3482,2.4587,0.4752
SZ002255,2026-03-31,845.8647,,2.31,1.6085,0.8432,20.821,0.1117,2.34,33.0491122707,1.6085,40.7022,1161.2903,377.9924,158.5344,0.1249,6.7716,0.2381,0.0775,0.5677,0.1064
