instrument,datetime,profit_growth,gross_margin,ar_turn_days,inventory_turn_days,revenue_growth,roa,roe,ar_turnover,net_margin,ocf_to_np,asset_turn_days,inventory_turnover
BJ920177,2026-03-31,5.699870703452,45.7711063692,223.205308976362,108.451148392521,30.28031913789,3.3151438822,4.17,0.403216215657,21.1120965666,0.037434505781,573.15421547589,0.829866731095
BJ920177,2025-12-31,15.00558112602,48.6418900635,214.46719893144,108.480844988099,26.838060346236,17.2407410713,21.9,1.678578364401,26.6337344374,0.125532445558,556.132961906907,3.318558221403
BJ920177,2025-09-30,22.994445345121,50.4879409988,231.691465686148,107.676390755634,33.932678481041,13.8971842372,17.26,1.165342880457,27.5305269598,0.099149475744,534.873982545973,2.50751346795
BJ920177,2025-06-30,20.047539477062,50.3146785738,226.195798885427,103.792108569834,36.61615932161,9.4426323293,11.83,0.795770747675,27.4211417578,0.08698709063,522.714995597742,1.734235892114
BJ920177,2025-03-31,32.386674097638,50.4317311779,252.302752353086,122.466362219692,40.591345624627,3.9402162127,4.96,0.356714301214,26.0217033385,0.03964897882,594.371774040423,0.734895675586
BJ920177,2024-12-31,41.53367226419,50.945472404,225.130618030953,113.261739259677,39.239190117735,19.0438990179,24.21,1.59907169957,29.3739763126,0.062723876221,555.276598695368,3.178478472546
BJ920177,2024-09-30,,51.0033398315,,,,,,,29.9788921799,-0.109247094191,,
BJ920177,2024-06-30,,50.6012994754,,,,,12.62,,31.2057297258,-0.200636786297,,
BJ920177,2024-03-31,,46.9413703467,252.97943142961,129.492768507386,,3.8164448913,4.82,0.355760148133,27.6343998574,-0.292601226658,651.678737141491,0.695019506011
BJ920177,2023-12-31,25.614078693673,55.1737907016,239.939774640045,145.792932683169,18.112216794013,18.2334124554,34.12,1.500376502979,28.9076107336,-0.017290522759,570.751080716634,2.469255493902
BJ920177,2022-12-31,,56.1480552882,249.217067684778,163.707490944749,,35.8431622468,43.94,1.444523857633,27.1467968624,0.03876704877,,2.199044148331
